Data_Set_Name,Algorithm_Name,Measure,Value
TREC,FOEIR-DTC,FairnessAtK,0.3265943877551017
TREC,FOEIR-DPC,NDCG@1,0.17112561411233185
TREC,FOEIR-DPC,NDCG@5,0.27404383562655016
TREC,FOEIR-DPC,NDCG@10,0.2718916054877526
TREC,FOEIR-DPC,MAP,9.043866813587606e-05
TREC,FOEIR-DPC,rKL,0.1582345423382942
TREC,FOEIR-DPC,DTR,0.348958328644
TREC,FOEIR-DPC,DIR,1.23892616573
TREC,FOEIR-DPC,FairnessAtK,0.31339285714285686
TREC,FeldmanEtAl,NDCG@1,0.765962958037447
TREC,FeldmanEtAl,NDCG@5,0.46276669165585294
TREC,FeldmanEtAl,NDCG@10,0.4547643401944931
TREC,FeldmanEtAl,MAP,0.020960714285714287
TREC,FeldmanEtAl,rKL,0.22981753674200925
TREC,FeldmanEtAl,DTR,0.294406841731
TREC,FeldmanEtAl,DIR,2.34862132492
TREC,FeldmanEtAl,FairnessAtK,0.5062499999999995
TREC,FOEIR-DIC,NDCG@1,0.17112561411233185
TREC,FOEIR-DIC,NDCG@5,0.2779131178197593
TREC,FOEIR-DIC,NDCG@10,0.2776255570203741
TREC,FOEIR-DIC,MAP,8.465316235858662e-05
TREC,FOEIR-DIC,rKL,0.1582345423382942
TREC,FOEIR-DIC,DTR,0.349714619112
TREC,FOEIR-DIC,DIR,1.23976371551
TREC,FOEIR-DIC,FairnessAtK,0.3524234693877547
NWN,Color-Blind,NDCG@1,0.2682926829268293
NWN,Color-Blind,NDCG@5,0.7804878048780488
NWN,Color-Blind,NDCG@10,0.7804878048780488
NWN,Color-Blind,MAP,0.7560975609756098
NWN,Color-Blind,rKL,0.12195121951219512
NWN,Color-Blind,DTR,0.4878048780487805
NWN,Color-Blind,DIR,0.4146341463414634
NWN,Color-Blind,FairnessAtK,0.0975609756097561
NWN,FAIR,NDCG@1,0.2682926829268293
NWN,FAIR,NDCG@5,0.3170731707317073
NWN,FAIR,NDCG@10,0.3170731707317073
NWN,FAIR,MAP,0.4146341463414634
NWN,FAIR,rKL,0.8292682926829268
NWN,FAIR,DTR,0.1951219512195122
NWN,FAIR,DIR,0.2682926829268293
NWN,FAIR,FairnessAtK,0.2682926829268293
NWN,LFRanking,NDCG@1,0.10344827586206896
NWN,LFRanking,NDCG@5,0.034482758620689655
NWN,LFRanking,NDCG@10,0.10344827586206896
NWN,LFRanking,MAP,0.0
NWN,LFRanking,rKL,0.1724137931034483
NWN,LFRanking,DTR,0.2413793103448276
